"gender","usage","credit","loan","history","accounts","status"
"男性",0.929157336452045,3000,0,2,3,2
"男性",0,5000,0,0,0,5
"男性",0,5000,0,0,1,0
"女性",0.459091266845353,3000,0,2,1,5
"男性",0,5000,0,1,3,2
"男性",0.525290667954832,2000,0,3,0,6
"女性",1.26514288657345,2000,0,0,5,1
"女性",0.300242705084383,3000,0,0,6,0
"男性",0.993826979445294,3000,0,0,0,6
"男性",1.0635393086262,3000,0,4,1,2
"男性",1.08865904603153,10000,1735,0,5,2
"男性",0.289750944743864,3000,0,0,0,0
"女性",1.07127032603137,5000,0,4,13,5
"男性",0.909480831832625,2000,3224,1,5,2
"男性",0.356374250883236,3000,0,2,0,2
"男性",0.560481866062619,2000,0,0,5,0
"女性",1.18956918986514,5100,0,0,0,0
"男性",0.113921486623585,5000,0,0,0,2
"男性",0.225141849759966,4000,0,0,0,0
"男性",1.29599159457255,3000,0,11,4,3
"男性",0.476076594153419,3000,0,1,4,2
"男性",0,10000,0,0,1,0
"男性",1.06734856871888,10000,2173,1,13,0
"男性",1.28528361802455,3000,0,2,9,5
"男性",1.10488689130638,5000,0,4,9,3
"女性",0.948018263485283,3000,0,1,0,2
"女性",1.0643769911956,3000,0,0,11,1
"男性",0.375046761431731,5000,0,0,12,0
"男性",0.0940175435226411,6000,0,0,1,0
"男性",1.33540078369435,3000,0,2,0,1
"女性",0,5000,0,0,1,0
"女性",0.679846576303244,5000,0,0,0,3
"女性",0.136421834104694,3000,0,0,3,0
"男性",0.316581967771053,5000,0,0,3,1
"男性",0.194822982493788,3000,0,0,0,0
"女性",0,3000,0,0,3,0
"男性",0.132416012436152,2000,0,1,6,2
"男性",1.23478581097443,5000,0,0,5,0
"男性",1.07682235818356,8000,2844,0,2,0
"男性",0.26194589367602,3000,0,0,3,3
"女性",1.04822420062032,20000,6764,4,8,3
"男性",1.10423800023738,5000,0,0,6,0
"男性",0.631277010170743,3000,0,1,0,2
"男性",1.04300108125899,3000,0,1,10,2
"女性",1.05823812306859,10000,0,5,3,3
"女性",1.06592700781766,3000,0,8,0,1
"男性",0.95307721383404,5000,0,3,3,2
"男性",1.30308922718279,5000,0,0,0,0
"男性",0.940463551296853,2000,0,1,0,2
"女性",1.06800793770235,5000,0,0,2,2
"女性",0.876900469418615,5000,0,1,13,2
"男性",0.102491581686772,3000,0,0,0,2
"男性",1.04830689962022,5000,0,0,2,0
"男性",1.04558892181609,3000,0,1,1,1
"女性",0.317196179013699,4000,0,2,1,0
"女性",0.777376747364178,3000,0,0,0,3
"男性",0.688683948237449,3000,0,0,1,0
"男性",0.668847231180407,3000,0,2,0,3
"女性",0.695323007381521,3000,0,3,2,3
"女性",1.28213659208268,3000,0,3,5,2
"女性",0.339603754584678,3000,0,1,7,0
"女性",1.09481100039557,4000,0,0,2,1
"女性",0,5000,0,0,0,1
"男性",0.963394883670844,5000,0,1,2,0
"女性",0.214349481454119,5000,0,0,1,0
"男性",0.73696253686212,4000,0,3,6,1
"男性",0.152878955518827,5000,0,0,0,0
"男性",1.03014922263101,10000,0,0,7,2
"男性",0.274136808598414,3000,0,0,13,0
"男性",0.655575003875419,4500,0,0,3,2
"女性",0,3000,0,0,1,0
"男性",1.41532689934131,5000,0,20,10,2
"男性",1.09024054195266,10000,773,0,2,0
"男性",0,4000,0,2,0,2
"男性",0.913188830581494,4000,0,6,2,2
"男性",0.160000590719283,10000,0,0,5,2
"女性",0.2000667400565,4000,0,0,4,3
"男性",1.05265686834231,5000,0,1,8,3
"女性",0.197528847688809,10000,17875,0,7,1
"女性",0,3000,0,0,3,2
