district,bedrooms,halls,area,floor,subway,school,price
海淀,2,1,70.82574056,low,1,0,5.819618265
朝阳,2,1,135.0195286,low,1,0,5.268821651
海淀,2,1,56.898773,high,0,0,5.286885419
朝阳,1,1,78.25531949,middle,0,0,4.644131664
朝阳,2,1,53.93450575,middle,0,0,3.351877386
丰台,2,1,95.44815739,middle,0,0,4.079477751
朝阳,2,2,168.5136947,middle,1,0,4.674490729
丰台,3,1,123.5511985,low,0,0,4.030242002
丰台,3,2,126.3542223,middle,1,0,5.167882355
朝阳,2,1,110.5218951,low,1,1,6.712957178
石景山,2,1,58.56984045,low,1,0,4.192233148
东城,2,1,70.46736492,middle,1,0,4.199815905
西城,2,1,56.40183746,middle,1,1,8.108333163
石景山,2,2,52.43447333,low,0,0,4.599316168
西城,3,2,197.3229127,low,1,1,8.047338867
东城,2,1,57.0764144,high,1,1,8.321072207
东城,2,1,67.91680228,low,1,1,8.314485274
东城,2,1,79.4274973,low,1,1,8.656831487
海淀,1,0,52.76964467,middle,1,1,10.49018077
东城,2,1,73.93405684,low,1,1,10.50466822
东城,3,1,157.585777,middle,1,0,5.670463351
海淀,1,1,48.94813343,middle,1,0,7.249469811
海淀,3,2,152.9859726,low,0,0,5.294318155
丰台,2,0,58.18619693,middle,1,0,4.811538181
东城,3,2,158.321451,middle,1,0,4.299289298
海淀,2,1,54.13568748,low,1,1,7.399974792
西城,2,1,57.34469341,high,1,0,8.468145894
西城,3,1,153.0157718,middle,0,0,4.834198486
西城,2,1,55.6672032,low,1,0,9.34375028
石景山,2,1,56.80726808,high,0,0,7.000385897
石景山,3,2,119.7342182,low,0,0,5.266115743
西城,2,1,51.70384209,middle,0,1,8.74452253
朝阳,2,2,93.98081709,low,1,0,4.123236915
西城,2,2,93.29520821,low,1,1,10.84454999
西城,3,2,158.4468799,high,1,1,14.01518611
朝阳,2,2,74.38856473,high,1,0,7.612904629
朝阳,1,1,49.32431448,middle,1,0,4.376006931
朝阳,2,2,113.8286625,low,0,0,5.960176108
东城,2,1,55.01780892,high,1,1,8.275695556
丰台,3,1,78.05244637,high,1,0,4.228662817
海淀,2,2,91.17825928,low,0,1,7.249844675
石景山,3,2,163.7205608,middle,0,0,5.296283651
西城,1,1,62.32339878,high,1,1,12.62450207
海淀,3,2,138.9447305,high,1,0,5.076299307
朝阳,1,1,58.84143516,middle,1,1,6.218430614
东城,2,1,65.55769921,low,1,1,8.907025225
丰台,2,2,105.5578714,low,1,0,3.864020882
海淀,1,1,62.53850892,high,1,0,4.942424568
西城,2,1,90.25994619,middle,1,0,8.606255958
海淀,1,1,65.40226366,middle,1,1,6.103081511
海淀,4,2,159.923271,low,1,1,11.57332511
西城,2,1,94.00103781,low,1,0,9.612279891
东城,1,1,41.57284359,middle,1,0,5.057946105
石景山,1,1,69.45051824,low,0,0,4.326247984
海淀,3,2,136.9536278,high,1,0,8.743319035
东城,3,1,60.75877064,middle,1,0,9.266949272
海淀,2,2,100.3909222,middle,0,0,6.953731544
东城,1,1,64.01546611,low,1,1,7.251533085
东城,1,1,57.2589144,low,1,1,9.24872132
朝阳,3,2,139.4791191,middle,0,0,4.370217105
海淀,3,2,163.5620155,high,1,1,8.818245291
丰台,2,2,103.2830963,low,1,0,4.524912342
西城,1,1,44.16599114,middle,1,0,9.981182419
丰台,5,2,233.4170045,middle,1,0,3.84165804
海淀,2,1,82.57134478,low,1,1,7.434307802
西城,2,1,52.08580493,high,1,1,11.71651915
丰台,2,1,71.25080506,middle,1,0,4.436843355
东城,1,1,57.08901206,high,1,1,9.183323434
丰台,3,1,68.10822638,high,0,0,4.97467399
丰台,1,1,38.86381627,high,1,0,5.005888406
朝阳,1,1,69.90101541,middle,1,0,5.51242834
丰台,2,1,69.42536065,low,1,0,4.946238206
朝阳,3,1,134.7453206,middle,1,0,3.999659394
西城,2,2,101.1971121,low,1,0,6.701617202
西城,3,2,162.354325,high,1,0,6.972145187
朝阳,2,1,61.53698326,high,1,0,6.023892491
丰台,2,1,70.88770074,low,1,0,4.36228714
西城,1,1,47.41536266,high,1,1,12.15919032
丰台,2,1,70.44714893,high,1,0,4.980059694
丰台,2,1,61.88770562,high,1,1,7.12288962
朝阳,2,1,91.51163696,high,0,0,3.742427862
石景山,1,1,58.52062305,middle,0,0,5.340803076
丰台,1,1,56.02951851,middle,1,0,5.379149423
海淀,2,1,49.79127597,middle,1,0,7.443095062
西城,2,1,83.0563401,low,1,1,12.43396314
海淀,2,1,107.0596574,low,1,0,5.555597931
石景山,2,1,61.92721346,high,0,0,3.450398878
石景山,2,1,49.06131666,middle,1,0,4.220603542
西城,3,1,93.99193129,high,1,0,7.011438717
海淀,3,2,187.0439903,middle,0,0,6.590739328
朝阳,3,2,127.5101823,middle,1,0,5.234940968
西城,2,1,72.95063609,low,1,0,6.735077749
西城,1,1,65.17202653,high,1,0,6.467525632
朝阳,1,1,68.90225968,high,1,0,5.981654661
西城,3,2,146.8833009,middle,1,1,10.24384354
西城,2,0,59.87626231,middle,1,1,8.510265241
石景山,2,1,61.33757371,middle,1,0,4.148650806
丰台,2,1,81.17767162,low,1,0,5.620852896
丰台,2,1,58.48738623,high,1,0,4.219792479
石景山,2,1,47.64433093,middle,1,0,3.472850239
石景山,2,1,58.84803453,middle,1,0,4.053146263
西城,3,2,131.0848989,middle,1,1,11.6197204
朝阳,2,1,58.80819202,low,1,0,6.747048923
丰台,3,2,125.0143761,high,1,0,5.19901923
海淀,2,1,77.29129766,low,1,0,6.074221449
西城,1,1,37.39908468,high,0,1,7.097560386
朝阳,2,2,56.11407557,low,1,0,4.764947986
丰台,2,1,45.77186934,low,1,1,7.825655909
西城,2,1,97.59829593,low,1,1,9.586543992
丰台,2,2,126.646801,middle,1,0,5.408019414
西城,2,1,73.75866532,high,0,0,7.521185871
